Date Pulled,Code,Short Name,Collection,eMASS,Asset,NCCM,Device-Asset,Primary Owner,Sys Admin,RMF Action,ISSO,CCB_SA_Actions,Other,Last Touched,STIGs,Benchmarks,Assessed,Submitted,Accepted,Rejected,CAT3,CAT2,CAT1
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27ACASNWPT01,,,AndersonL,MedeirosC_$,,,,,92 d,2,RHEL_7_STIG VMW_vSphere_7-0_Virtual_Machine_STIG,100.00%,100.00%,100.00%,0.00%,0,3,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27ADDCNWPT01,,,CorreiaA,MaciasP_$,,,,,28 d,8,Active_Directory_Domain Active_Directory_Forest IE_11_STIG MS_Defender_Antivirus MS_Dot_Net_Framework Windows_Server_2019_STIG Windows_Firewall_with_Advanced_Security MS_Windows_Server_2022_DNS_STIG,100.00%,100.00%,100.00%,0.00%,0,1,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27ADDCNWPT02,,,MinkinG,MaciasP_$,,,,,28 d,10,Active_Directory_Domain Active_Directory_Forest HBSS_Rogue_Sensor IE_11_STIG MS_Defender_Antivirus MS_Dot_Net_Framework Windows_Server_2019_STIG VMW_vSphere_7-0_Virtual_Machine_STIG Windows_Firewall_with_Advanced_Security MS_Windows_Server_2022_DNS_STIG,100.00%,100.00%,100.00%,0.00%,0,2,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27ADDCNWPT03,,,MinkinG,MaciasP_$,,,,,28 d,9,Active_Directory_Domain Active_Directory_Forest IE_11_STIG MS_Defender_Antivirus MS_Dot_Net_Framework Windows_Server_2019_STIG VMW_vSphere_7-0_Virtual_Machine_STIG Windows_Firewall_with_Advanced_Security MS_Windows_Server_2022_DNS_STIG,100.00%,100.00%,100.00%,0.00%,0,2,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27APLNWPT71,,,AlbertellaM,,,,,,28 d,8,IE_11_STIG IIS_10-0_Server_STIG Microsoft_SharePoint_Server_2013 MS_Dot_Net_Framework Windows_Server_2016_STIG VMW_vSphere_7-0_Virtual_Machine_STIG Windows_Firewall_with_Advanced_Security MS_Defender_Antivirus,100.00%,100.00%,100.00%,0.00%,1,4,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27APLNWPT71-NewPortalV4Ext-NA,,DB/Web,AlbertellaM,,,,,,49 d,1,IIS_10-0_Site_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27APLNWPT71-NewPortalV4Root-NA,,DB/Web,AlbertellaM,,,,,,49 d,1,IIS_10-0_Site_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27APLNWPT71-PortalV4-NA,,DB/Web,AlbertellaM,,,,,,49 d,1,IIS_10-0_Site_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27APLNWPT71-SharePoint Web Services-NA,,DB/Web,AlbertellaM,,,,,,49 d,1,IIS_10-0_Site_STIG,100.00%,100.00%,100.00%,0.00%,0,1,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27APLNWPT71-UserSiteV4-NA,,DB/Web,AlbertellaM,,,,,,49 d,1,IIS_10-0_Site_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27APLNWPT72,,,AlbertellaM,,,,,,28 d,8,IE_11_STIG IIS_10-0_Server_STIG Microsoft_SharePoint_Server_2013 MS_Dot_Net_Framework Windows_Server_2016_STIG VMW_vSphere_7-0_Virtual_Machine_STIG Windows_Firewall_with_Advanced_Security MS_Defender_Antivirus,100.00%,100.00%,100.00%,0.00%,1,4,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27APLNWPT72-NewPortalV4Ext-NA,,DB/Web,AlbertellaM,,,,,,49 d,1,IIS_10-0_Site_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27APLNWPT72-NewPortalV4Root-NA,,DB/Web,AlbertellaM,,,,,,49 d,1,IIS_10-0_Site_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27APLNWPT72-PortalV4-NA,,DB/Web,AlbertellaM,,,,,,49 d,1,IIS_10-0_Site_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27APLNWPT72-SharePoint Web Services-NA,,DB/Web,AlbertellaM,,,,,,49 d,1,IIS_10-0_Site_STIG,100.00%,100.00%,100.00%,0.00%,0,1,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27APLNWPT72-UserSiteV4-NA,,DB/Web,AlbertellaM,,,,,,49 d,1,IIS_10-0_Site_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27AWLNWPT01,,,ThistleM,GarciaE_$,,,,,43 d,2,VMW_vSphere_7-0_Virtual_Machine_STIG RHEL_8_STIG,100.00%,100.00%,100.00%,0.00%,4,23,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27COMMVNWPT01,,,MaciasP,LenzP_$,,,,,28 d,7,IE_11_STIG MS_Dot_Net_Framework Windows_Server_2019_STIG VMW_vSphere_7-0_Virtual_Machine_STIG Windows_Firewall_with_Advanced_Security IIS_10-0_Server_STIG MS_Defender_Antivirus,100.00%,100.00%,100.00%,0.00%,3,10,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27COMMVNWPT01-Consoles-NA,,DB/Web,MaciasP,LenzP_$,,BestPrac,,,29 d,1,IIS_10-0_Site_STIG,100.00%,100.00%,100.00%,0.00%,0,14,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27COMMVNWPT01-Default Web Site-NA,,DB/Web,MaciasP,LenzP_$,,BestPrac,,,29 d,1,IIS_10-0_Site_STIG,100.00%,100.00%,100.00%,0.00%,0,13,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27COMMVNWPT02,,,MaciasP,LenzP_$,,,,,28 d,6,IE_11_STIG MS_Dot_Net_Framework Windows_Server_2019_STIG VMW_vSphere_7-0_Virtual_Machine_STIG Windows_Firewall_with_Advanced_Security MS_Defender_Antivirus,100.00%,100.00%,100.00%,0.00%,0,1,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27COMMVNWPT03,,,MaciasP,LenzP_$,,,,,28 d,6,MS_Defender_Antivirus MS_Dot_Net_Framework Windows_Server_2019_STIG VMW_vSphere_7-0_Virtual_Machine_STIG IE_11_STIG Windows_Firewall_with_Advanced_Security,100.00%,100.00%,100.00%,0.00%,0,1,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27COMMVNWPT04,,,MaciasP,LenzP_$,,,,,28 d,6,IE_11_STIG MS_Dot_Net_Framework Windows_Server_2019_STIG VMW_vSphere_7-0_Virtual_Machine_STIG Windows_Firewall_with_Advanced_Security MS_Defender_Antivirus,100.00%,100.00%,100.00%,0.00%,0,1,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27COMMVNWPT05,,,CorreiaA,LenzP_$,,,,,28 d,5,IE_11_STIG MS_Defender_Antivirus MS_Dot_Net_Framework Windows_Server_2019_STIG Windows_Firewall_with_Advanced_Security,100.00%,100.00%,100.00%,0.00%,0,1,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DADDCNWPT01,,,CorreiaA,MaciasP_$,,,,,28 d,8,Active_Directory_Domain Active_Directory_Forest IE_11_STIG MS_Defender_Antivirus MS_Dot_Net_Framework Windows_Server_2019_STIG Windows_Firewall_with_Advanced_Security MS_Windows_Server_2022_DNS_STIG,100.00%,100.00%,100.00%,0.00%,0,1,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DADDCNWPT02,,,MinkinG,MaciasP_$,,,,,28 d,9,Active_Directory_Domain Active_Directory_Forest IE_11_STIG MS_Defender_Antivirus MS_Dot_Net_Framework Windows_Server_2019_STIG VMW_vSphere_7-0_Virtual_Machine_STIG Windows_Firewall_with_Advanced_Security MS_Windows_Server_2022_DNS_STIG,100.00%,100.00%,100.00%,0.00%,0,1,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT03,,,RileyE,RileyE_$,,,,,28 d,8,IE_11_STIG IIS_10-0_Server_STIG MS_Dot_Net_Framework MS_Defender_Antivirus VMW_vSphere_7-0_Virtual_Machine_STIG Windows_Firewall_with_Advanced_Security MS_Windows_Server_2022_STIG MS_Edge_STIG,100.00%,100.00%,100.00%,0.00%,1,1,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT03-Default Web Site-NA,,DB/Web,RileyE,RileyE_$,,,,,49 d,1,IIS_10-0_Site_STIG,100.00%,100.00%,100.00%,0.00%,0,3,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT03-WSUS Administration-NA,,DB/Web,RileyE,RileyE_$,,,,,49 d,1,IIS_10-0_Site_STIG,100.00%,100.00%,100.00%,0.00%,0,2,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT48,,,MagnerG,LongC_$,,,,,108 d,2,VMW_vSphere_7-0_Virtual_Machine_STIG Windows_Firewall_with_Advanced_Security,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT51,,,OliveiraJ,,,,,,28 d,5,MS_Dot_Net_Framework IE_11_STIG MS_Defender_Antivirus Windows_Server_2019_STIG Windows_Firewall_with_Advanced_Security,100.00%,100.00%,100.00%,0.00%,0,1,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT52,,,OliveiraJ,,,,,,28 d,5,MS_Dot_Net_Framework IE_11_STIG MS_Defender_Antivirus Windows_Server_2019_STIG Windows_Firewall_with_Advanced_Security,100.00%,100.00%,100.00%,0.00%,0,1,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT53,,,OliveiraJ,,,,,,28 d,5,MS_Dot_Net_Framework IE_11_STIG MS_Defender_Antivirus Windows_Server_2019_STIG Windows_Firewall_with_Advanced_Security,100.00%,100.00%,100.00%,0.00%,0,1,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT57,,,OliveiraJ,,,,,,28 d,5,MS_Dot_Net_Framework IE_11_STIG MS_Defender_Antivirus Windows_Server_2019_STIG Windows_Firewall_with_Advanced_Security,100.00%,100.00%,100.00%,0.00%,0,1,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71,,,AlbertellaM,,,,,,28 d,7,HBSS_Rogue_Sensor IE_11_STIG MS_Dot_Net_Framework Windows_Server_2016_STIG VMW_vSphere_7-0_Virtual_Machine_STIG Windows_Firewall_with_Advanced_Security MS_Defender_Antivirus,100.00%,100.00%,100.00%,0.00%,1,2,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-appscan-C27DATNWPT71\SQLSERVER2017,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-ArgentB3COI-C27DATNWPT71\SQLSERVER2017,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-AutomationEdge-C27DATNWPT71\SQLSERVER2017,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-C27DATNWPT71-SQL2016,,DB/Web,AlbertellaM,,,,,,43 d,1,MS_SQL_Server_2016_Instance_STIG,100.00%,100.00%,100.00%,0.00%,1,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-C27DATNWPT71-SQLSERVER2017,,DB/Web,AlbertellaM,,,,,,43 d,1,MS_SQL_Server_2016_Instance_STIG,100.00%,100.00%,100.00%,0.00%,1,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-Cherwell-C27DATNWPT71\SQLSERVER2017,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-Code15-C27DATNWPT71\SQLSERVER2017,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-Code45-C27DATNWPT71\SQLSERVER2017,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-Code85-C27DATNWPT71\SQLSERVER2017,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-IdfMC-C27DATNWPT71\SQLSERVER2017,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-KeystoneWeb-C27DATNWPT71\SQLSERVER2017,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-master-C27DATNWPT71\SQL2016,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-master-C27DATNWPT71\SQLSERVER2017,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-model-C27DATNWPT71\SQL2016,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-model-C27DATNWPT71\SQLSERVER2017,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-msdb-C27DATNWPT71\SQL2016,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-msdb-C27DATNWPT71\SQLSERVER2017,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-ProLaw-C27DATNWPT71\SQL2016,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-ProLawTest-C27DATNWPT71\SQL2016,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-ReportServer-C27DATNWPT71\SQL2016,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-ReportServerTempDB-C27DATNWPT71\SQL2016,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-Sec_Srv_NWPT-C27DATNWPT71\SQLSERVER2017,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-tempdb-C27DATNWPT71\SQL2016,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT71-tempdb-C27DATNWPT71\SQLSERVER2017,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT72,,,AlbertellaM,,,,,,28 d,6,IE_11_STIG MS_Dot_Net_Framework Windows_Server_2016_STIG VMW_vSphere_7-0_Virtual_Machine_STIG Windows_Firewall_with_Advanced_Security MS_Defender_Antivirus,100.00%,100.00%,100.00%,0.00%,0,2,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT72-AppMng_Service_DB_f0315dfc720241289d1e7a1ea3948454-C27DATNWPT72\SHAREPOINTSQL,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT72-Bdc_Service_DB_1c11a79301dd4ce48a194af94e5e9ea9-C27DATNWPT72\SHAREPOINTSQL,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT72-C27DATNWPT72-SHAREPOINTSQL,,DB/Web,AlbertellaM,,,,,,43 d,1,MS_SQL_Server_2016_Instance_STIG,100.00%,100.00%,100.00%,0.00%,1,1,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT72-ContentMatrixOrganizer-C27DATNWPT72\SHAREPOINTSQL,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT72-Managed MetaData Service-C27DATNWPT72\SHAREPOINTSQL,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT72-master-C27DATNWPT72\SHAREPOINTSQL,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT72-model-C27DATNWPT72\SHAREPOINTSQL,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT72-msdb-C27DATNWPT72\SHAREPOINTSQL,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT72-Profile DB-C27DATNWPT72\SHAREPOINTSQL,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT72-Search_Service_Application_1_AnalyticsReportingStore-C27DATNWPT72\SHAREPOINTSQL,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT72-Search_Service_Application_1_CrawlStore-C27DATNWPT72\SHAREPOINTSQL,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT72-Search_Service_Application_1_LinksStore-C27DATNWPT72\SHAREPOINTSQL,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT72-Search_Service_Application_1-C27DATNWPT72\SHAREPOINTSQL,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT72-Search_Service_Application_AnalyticsReportingStoreDB_4416feba22304a69a43ea0dbbce08fad-C27DATNWPT72\SHAREPOINTSQL,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT72-Search_Service_Application_CrawlStoreDB_741e5f400e7d47f09eaf63814c658c00-C27DATNWPT72\SHAREPOINTSQL,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
2024-07-11,10,B3COI,NP_C10-B3COI_Servers_1315_DBS,1315,C27DATNWPT72-Search_Service_Application_DB_3474c9e83ece411797b2fac6cb9a173d-C27DATNWPT72\SHAREPOINTSQL,,DB/Web,AlbertellaM,,,,,,28 d,1,MS_SQL_Server_2016_Database_STIG,100.00%,100.00%,100.00%,0.00%,0,0,0
